,Song Title,Song BPM,Song Duration,Genre
100,Tunnel Vision (Dj Rukus Intro Edit) (Clean),86.00,234,Hip Hop
101,Passionfruit (Dj Rukus Intro Edit) (Clean),112.00,240,R&amp;B
102,Passionfruit (Dj Rukus Intro Edit) (Dirty),112.00,240,R&amp;B
103,Goosebumps (Dj Rukus Intro Edit) (Dirty),130.00,243,Hip Hop
104,Goosebumps (Dj Rukus Intro Edit) (Clean),130.00,243,Hip Hop
105,Cold (DJ Jay MMP Intro) (Clean),100.00,237,Pop
106,Dont Wanna Know (Dj Rukus Intro Edit) (Clean),100.00,278,Pop
107,Broccoli (Dj Rukus Intro Edit - Clean),73.00,249,Hip Hop
108,Broccoli (Dj Rukus Intro Edit - Dirty),73.00,249,Hip Hop
109,Slide (Dj Rukus Intro Edit) (Clean),104.00,212,Pop
110,Young Dumb and Broke (Dj Rukus Intro Edit) (Clean),137.00,238,R&amp;B
111,Magnolia (Dj Rukus Intro Edit) (Clean),163.00,212,Hip Hop
112,Magnolia (Dj Rukus Intro Edit) (Dirty),81.50,212,Hip Hop
113,Love Galore (Dj Rukus Intro Edit) (Clean),135.00,270,R&amp;B
114,Both (Dj Rukus Intro Edit) (Clean),140.00,192,Hip Hop
115,Drowning (Dj Rukus Intro Edit) (Clean),129.00,253,Hip Hop
116,Both (Dj Rukus Intro Edit) (Dirty),140.00,192,Hip Hop
117,Drowning (Dj Rukus Intro Edit) (Dirty),129.00,253,Hip Hop
118,I Get the Bag (Dj Rukus Intro Edit) (Dirty),140.00,246,Hip Hop
119,I Get The Bag (Dj Rukus Intro Edit) (Clean),140.00,246,Hip Hop
120,Look At Me (MMP Intro Edit) (Clean),139.00,152,Hip Hop
121,Look At Me (MMP Intro Edit) (Dirty),139.00,152,Hip Hop
122,Its A Vibe (Dj Rukus Intro Edit) (Dirty),73.00,223,Hip Hop
123,Its A Vibe (Dj Rukus Intro Edit) (Clean),73.00,223,Hip Hop
124,Work (Dj Rukus Personal Edit) (Clean),130.00,171,Hip Hop
125,Work (Dj Rukus Personal Edit) (Dirty),130.00,184,Hip Hop
126,Plain Jane (Remix) (Dirty),85.00,203,Hip Hop
127,Plain Jane (Remix) (Clean),85.00,203,Hip Hop
128,Unforgettable (Clean),97.99,313,Hip Hop
129,Unforgettable (Dirty),97.99,313,Hip Hop
130,Pills and Automobiles (Dj Rukus Intro Edit) (Dirty),72.50,317,Hip Hop
131,Pills and Automobiles (Dj Rukus Intro Edit) (Clean),72.50,317,Hip Hop
132,Panda (Clean),144.99,245,Hip Hop
133,Panda (Dirty),145.14,244,Hip Hop
134,Do Re Mi (Dirty),111.00,209,R&amp;B
135,Do Re Mi (Clean),149.34,198,R&amp;B
136,Narcos (Dirty),125.00,255,Hip Hop
137,BBO (Bad Bitches Only) (Dj Rukus QuickHitter) (Dirty),81.00,154,Hip Hop
138,Lean On (Original Mix),98.00,178,Moombahton
139,Bodak Yellow (Statik Link Remix),78.00,185,Hip-Hop
140,In The Ayer (Rizzo Scratch Hype Short Edit),127.99,202,Pop
141,No Limit (Mr Collipark Remix Clean),100.00,244,Remix
142,Mi Gente (Remix) (Mixshow Edit),105.00,218,Pop
143,iSpy (Remix) (Dj Rukus Intro Edit) (Dirty),75.00,256,Hip Hop
144,Body Like A Back Road (Mr. Collipark Remix) (MMP Intro Edit) (Clean),102.00,197,Pop
145,Rake It Up (Flava Reggaeton Mix Dirty),93.77,212,Remix
146,Side To Side (Dirty Intro),159.00,267,Pop
147,24K Magic (Dj Rukus Intro Edit) (Dirty),107.00,233,Pop
148,Thats What I Like (Dj Rukus Intro Edit) (Dirty),134.00,257,Pop
149,Slide (Dj Rukus Intro Edit) (Drty),104.00,212,Pop
150,Redbone (Dj Rukus Intro Edit) (Dirty),80.00,316,R&amp;B
151,Sorry Not Sorry (Dj Rukus Intro Edit) (Dirty),72.00,240,Pop
152,Wild Thoughts (Dj Rukus Intro Edit) (Dirty),98.00,213,Hip Hop
153,Cold (DJ Jay MMP Intro) (Dirty),100.00,245,Pop
154,Dont Wanna Know (Dj Rukus Intro Edit) (Dirty),100.00,278,Pop
155,Love On The Brain (Dj Rukus Intro Edit) (Dirty),113.99,269,R&amp;B
156,Love Galore (Dj Rukus Intro Edit) (Dirty),135.00,270,R&amp;B
157,I Feel It Coming (Dj Rukus Intro Edit) (Dirty),93.00,258,Pop
158,Starboy (Intro) (Dirty),93.00,247,Pop
159,Lemon (Dj Rukus Intro Edit) (Dirty),95.00,226,Hip Hop
160,Teach Me How To Dougie (Instrumental),85.00,215,Hip-Hop
161,Mask Off (DJ Scene Bootleg Clean),150.00,249,Trap Hip Hop
162,Mask Off (DJ Scene Bootleg Dirty),150.00,249,Trap Hip Hop
163,No Smoke (Radio Edit) (Clean),72.00,160,Hip Hop
164,No Smoke (Dirty),72.00,160,Hip Hop
165,No Smoke (Instrumental),72.00,160,Hip Hop
166,Scratch Ammo 1 (100 bpm),99.81,60,Scratch Tool
167,Teach Me How To Dougie (Clean),85.00,207,Hip-Hop
168,Teach Me How To Dougie (Dirty),85.00,213,Hip-Hop
169,Next Episode (DJ Hope Scratch Drop Intro)(Dirty),95.00,181,Hip Hop
170,Edm Vocal Shouts (ANX Dj Tool) (Part 2) (Dirty),126.65,80,Dj Tools
171,Drop That Booty (Original Mix),115.00,169,Dance
172,Ric Flair Drip (DJ Rocco &amp; DJ Ever B Remix Dirty),100.00,196,Twerk
173,God's Plan (Dj Rukus Intro Edit) (Clean),77.20,199,Hip Hop
174,God's Plan (Dj Rukus Intro Edit) (Dirty),154.40,199,Hip Hop
175,Truffle Butter (Remix Dirty),105.00,253,Hip-Hop
176,Truffle Butter (The Aston Shuffle Remix) (Rockabeat Short Edit),122.00,157,House
177,Hotline Bling (Clean),135.00,267,Hip Hop
178,Hotline Bling (Mixshow Intro) (Clean),135.00,256,Hip Hop
179,Freak In You (Dj Rukus Intro Edit) (Clean),87.00,331,R&amp;B
180,Back To Back (Intro) (Aca Outro),86.99,132,Intros
181,Hotline Bling (Mixshow Intro) (Dirty),135.00,256,Hip Hop
182,Freak In You (Dj Rukus Intro Edit) (Dirty),87.00,331,R&amp;B
183,Gucci Gang (Dj Rukus 100-60 Transition) (Dirty),100.14,164,Transitions
184,Gucci Gang (Dj Rukus 100-60 Transition) (Clean),100.79,164,Transitions
185,Dont Stop The Party (Dawson Intro),128.00,187,Intros
186,Fireball (Main),123.00,235,Pop
187,Like A G6 (Rmx Intro Clean),128.00,214,Intros
188,Gummo (Clean),78.50,158,Hip Hop
189,Gummo (Dirty),78.50,158,Hip Hop
190,KEKE (On The Regular) (Dj Rukus Intro Edit) (Clean),94.00,163,Hip Hop
191,KEKE (On The Regular) (Dj Rukus Intro Edit) (Dirty),94.00,163,Hip Hop
192,Meant To Be (Clean),77.00,162,Pop
193,Finesse (Remix) (Clean),105.00,214,Pop
194,Finesse (Remix) (Dirty),105.00,214,Pop
195,Never Be the Same (Dj Rukus Intro Edit) (Clean),130.00,267,Pop
196,How Long (Dj Rukus Intro Edit) (Clean),110.00,220,Pop
197,Get It Right (Remix) (Dj Rukus QuickHitter) (Clean),80.00,132,Pop
198,New Rules (Dj Rukus Intro Edit) (Clean),116.00,229,Pop
199,River (Clean),90.00,220,Pop
200,River (Dirty),90.00,220,Pop
201,Him and I (Dj Rukus Intro Edit) (Clean),87.97,305,Hip Hop
202,Him and I (Dj Rukus Intro Edit) (Dirty),132.49,305,Hip Hop
203,Let Me Go,103.00,174,Pop
204,Bad At Love (Dj Rukus Intro Edit) (Clean),118.00,227,Pop
205,Bad At Love (Dj Rukus Intro Edit) (Dirty),118.00,227,Pop
206,Savior (Dj Rukus Intro Edit) (Clean),100.00,230,Pop
207,Savior (Dj Rukus QuickHitter) (Clean),100.00,153,Pop
208,Believer (Clean),125.03,201,Rock
209,Love (Clean),126.00,213,Hip Hop
210,Love (Dirty),126.00,213,Hip Hop
211,Roll In Peace (Dj Rukus Intro Edit) (Clean),140.00,233,Hip Hop
212,Roll In Peace (Dj Rukus Intro Edit) (Dirty),140.00,233,Hip Hop
213,Gucci Gang (Dj Rukus Intro Edit) (Clean),120.00,160,Hip Hop
214,Gucci Gang (Dj Rukus Intro Edit) (Dirty),120.00,160,Hip Hop
215,The Way Life Goes (Clean),82.00,217,Hip Hop
216,The Way Life Goes (Dirty),82.00,217,Hip Hop
217,1-800-273-8255 (Dj Rukus Intro Edit) (Clean),100.00,268,Hip Hop
218,1-800-273-8255 (Dj Rukus Intro Edit) (Dirty),100.00,268,Hip Hop
219,Despacito (Remix) (Dj Rukus Intro Edit) (Clean),178.00,260,Pop
220,Wolves (MMP Clap Fix Chorus Intro),127.62,150,Pop
221,Lights Down Low,81.00,223,Pop
222,Sky Walker (Dj Rukus Intro Edit) (Clean),73.00,236,R&amp;B
223,Sky Walker (Dj Rukus Intro Edit) (Dirty),73.00,236,R&amp;B
224,Let You Down (Clean),148.00,201,Hip Hop
225,I Fall Apart (Dj Rukus Intro Edit) (Clean),144.00,253,Hip Hop
226,I Fall Apart (Dj Rukus Intro Edit) (Dirty),144.00,253,Hip Hop
227,Pon De Replay (Clean),148.50,217,R&amp;B
228,Yours (Radio),133.99,212,Country
229,End Game (Clean),79.50,243,Pop
230,Marry Me (Radio),85.00,202,Country
231,Perfect Duet (Clean),126.67,258,R&amp;B
232,Havana (Dj Rukus Intro Edit) (Clean),105.00,237,Pop
233,Rockstar (Dj Rukus Intro Edit) (Clean),80.00,252,Hip Hop
234,Rockstar (Dj Rukus Intro Edit) (Dirty),80.00,252,Hip Hop
235,Diplomatic Immunity (Dj Rukus Intro Edit) (Clean),152.00,290,Hip Hop
236,Diplomatic Immunity (Dj Rukus Intro Edit) (Dirty),152.00,290,Hip Hop
237,No Limit (Remix) (Dj Rukus Intro Edit) (Clean),88.00,305,Hip Hop
238,No Limit (Remix) (Dj Rukus Intro Edit) (Dirty),88.00,305,Hip Hop
239,No Limit (Dj Rukus Cardi B First) (Clean),88.00,240,Hip Hop
240,No Limit (Dj Rukus Cardi B First) (Dirty),88.00,240,Hip Hop
241,Motorsport (Dirty),138.00,323,Hip-Hop
242,Too Good At Goodbyes (Dj Rukus Intro Edit) (Clean),92.06,240,Pop
243,Bartier Cardi (Dj Rukus Intro Edit) (Clean),138.00,250,Hip Hop
244,Bartier Cardi (Dj Rukus Intro Edit) (Dirty),138.00,250,Hip Hop
245,Filthy (Dj Rukus Intro Edit) (Clean),97.00,277,Pop
246,Losing Sleep (MMP Rock Refix),92.90,196,Rock
247,Good Old Days (MMP Intro Edit) (Clean),122.96,195,Pop
248,Thrift Shop (Clean),95.00,235,Hip-Hop
249,Thrift Shop (Dirty),95.00,235,Hip-Hop
250,Uptown Funk (Main),115.00,235,Pop
251,Crew (LNRP Mixshow Edit) (Clean),130.00,236,Hip Hop
252,Crew (LNRP Mixshow Edit) (Dirty),130.00,236,Hip Hop
253,Cyclone (CFLO Bridge Edit),78.00,123,Hip Hop
254,Club Cant Handle Me (PeteDown Edit),129.98,229,Remix
255,Dynamite (Main),120.00,204,Dance
256,My Shit (Dj Rukus Intro Edit - Clean),78.00,147,Hip Hop
257,My Shit (Dj Rukus Intro Edit - Dirty),78.00,147,Hip Hop
258,Ghost Town (Intro) (Clean),120.00,338,Pop
259,Ghost Town (Intro) (Dirty),120.00,338,Pop
260,Here (Clean),121.50,200,Pop
261,Honey Im Good (Radio Edit),122.00,199,Pop
262,Bad Decisions (Dj Rukus Intro Edit - Clean),132.00,274,Pop
263,Bad Decisions (Dj Rukus Intro Edit - Dirty),132.00,274,Pop
264,Be Alright (Dj Rukus Hook In) (Clean),109.00,211,Pop
265,Be Alright,109.00,177,Pop
266,Dangerous Woman (Intro),89.33,220,Pop
267,Focus (Clean),100.00,211,Pop
268,Gave It Away (Dj Rukus Intro Edit - Clean),106.00,280,Pop
269,Greedy (Clean),110.00,212,Pop
270,I Dont Care (Dj Rukus Intro Edit - Clean),112.00,222,R&amp;B
271,I Dont Care (Dj Rukus Intro Edit - Dirty),112.00,222,R&amp;B
272,Into You,108.00,244,R&amp;B
273,Everyday (Dj Rukus Intro Edit - Clean),131.00,241,Hip Hop
274,Everyday (Dj Rukus Intro Edit - Dirty),131.00,241,Hip Hop
275,New Level (Main),161.33,267,Hip Hop
276,Back Hurt (Clean),142.00,216,Hip Hop
277,Back Hurt (Dirty),142.00,216,Hip Hop
278,Yammy Gang (Clean),101.25,153,Hip Hop
279,Yammy Gang (Dirty),101.25,153,Hip Hop
280,Let It Bang (Dirty),130.00,151,Hip Hop
281,Hungry Ham (Clean),80.00,216,Hip Hop
282,Hungry Ham (Dirty),80.00,216,Hip Hop
283,Yamborghini High (Dj Rukus Intro Edit - Clean),138.00,333,Hip Hop
284,Yamborghini High (Dj Rukus Intro Edit - Dirty),138.00,333,Hip Hop
285,Everyday (Clean),75.08,257,Hip Hop
286,Everyday (Dirty),75.11,264,Hip Hop
287,Electric Body (Clean),120.00,255,Hip Hop
288,Electric Body (Dirty),120.00,255,Hip Hop
289,Living It Up (MMP Intro) (Clean),97.97,245,Hip Hop
290,Living It Up (MMP Intro) (Dirty),98.00,245,Hip Hop
291,Bring That Beat (Original Mix),128.00,252,Electro
292,On The Floor Like,128.00,247,Electro
293,Good Grief (Radio Edit),120.00,212,Rock
294,Intergalagtic (Dj Beatmaster Twerk Remix),105.03,292,Twerk
295,Might Not (MMP Intro) (Clean),134.00,274,Hip Hop
296,Might Not (MMP Intro) (Dirty),134.00,274,Hip Hop
297,Zanzibar (Intro Dirty),72.00,193,Hip Hop
298,Formation (Clean),122.00,204,R&amp;B
299,Formation (Dirty),122.00,206,R&amp;B
300,Dance (A$$) (MK3F Remix) Drity,80.00,202,Trap
301,Blessings (Chorus Intro) (Dirty),119.01,230,Hip Hop
302,I Know (Clean),120.00,288,Hip Hop
303,I Know (Dirty),120.00,288,Hip Hop
304,I Dont Fuck With You (Dj Rukus Hype Intro) (Dirty),98.00,235,Hip Hop
305,The Time (DJ JAY 16 Bar Intro) (Clean),128.00,322,Pop
306,The Time (DJ JAY 16 Bar Intro) (Dirty),128.00,322,Pop
307,Saviors Shadow (Radio),99.37,162,Country
308,Shes Got a Way With Words (Clean),149.00,190,Country
309,Hot Nigga (Boss Mode Edit) (Syntrix QH) (Intro) (Dirty),89.99,126,Intros
310,Forbes,114.00,206,Trap
311,Country Nation (Radio),89.00,224,Country
312,Without a Fight (Radio),113.00,233,Country
313,Scream and Shout (Chant In) (Short Edit) (Clean),130.01,190,Pop
314,502 Come Up (Dj Rukus Intro Edit) (Clean),118.80,210,R&amp;B
315,502 Come Up (Dj Rukus Intro Edit) (Dirty),118.80,210,R&amp;B
316,Dont (Intro) (Clean),97.04,339,Hip Hop
317,Dont (Intro) (Dirty),96.84,339,Hip Hop
318,Exchange (Clean),80.00,194,R&amp;B
319,Exchange (Dirty),80.00,194,R&amp;B
320,Sorry Not Sorry (Dj Rukus Intro Edit) (Clean),98.00,235,R&amp;B
321,Sorry Not Sorry (Dj Rukus Intro Edit) (Dirty),98.00,235,R&amp;B
322,Hold Up (Clean),82.50,221,R&amp;B
323,Hold Up (Dirty),82.50,221,R&amp;B
324,Hit The Quan (DJ SLICK MMP Intro) (Clean),80.00,217,Hip Hop
325,Hit The Quan (DJ SLICK MMP Intro) (Dirty),80.00,217,Hip Hop
326,Niggas In Paris x Strip Bootleg (Beazie Beats Segway Edit),140.00,274,Hip Hop
327,Bon Appetit (3LAU Remix) (Dj Rukus Intro Edit) (Clean),106.00,208,Remix
328,Drop It Like Is Hot (Dj Hope Scratch Drop Intro) (Clean),92.00,259,Hip Hop
329,Drop It Like Is Hot (Dj Hope Scratch Drop Intro) (Dirty),92.00,260,Hip Hop
330,Stay (Dj Rukus Intro Edit) (Clean),102.00,228,Pop
331,Controlla (Clean),93.50,245,Hip Hop
332,Controlla (Dirty),93.50,245,Hip Hop
333,Drake - One Dance (Clean),104.00,174,Hip Hop
334,Pop Style (Clean),133.25,213,Hip Hop
335,Pop Style (Dirty),132.99,213,Hip Hop
336,Hype (Clean),130.00,209,Hip Hop
337,Hype (Dirty),130.00,209,Hip Hop
338,How Deep Is Your Love (MMP Intro) (Clean),122.00,220,Intros
339,This Is What You Came For (Clean),124.00,220,House
340,This Is What You Came For (Dj Rukus Intro Edit - Clean),124.00,278,Pop
341,I Like Tuh (Audiorokk Aca Hype In),89.00,195,Trap
342,Bricks (73-100BPM Transition) (Dirty),72.13,148,Transitions
343,Church Bells (Radio),87.00,191,Country
344,Heartbeat,140.00,208,Country
345,Smoke Break (Radio Edit),80.00,199,Country
346,Every Time We Touch (Intro Short Edit),142.00,135,House
347,Roses (MMP Intro) (Clean),100.00,195,Intros
348,Don't Let Me Down (Clean),80.00,241,Pop
349,Angels (MMP Intro) (Clean),78.02,219,Intros
350,Sunday Candy (MMP Intro) (Clean),79.00,254,Hip Hop
351,Smoke Break (Dirty),125.16,226,Hip Hop
352,All We Got,132.00,203,Hip Hop
353,No Problem (Dirty),135.00,304,Hip Hop
354,Angels (Intro)(Dirty),78.00,320,Hip Hop
355,Nana (Dj Rukus Intro Edit) (Clean),156.00,221,Hip Hop
356,Nana (Dj Rukus Intro Edit) (Dirty),156.00,221,Hip Hop
357,Favorite Song (Dj Rukus Intro Edit) (Clean),78.00,221,Hip Hop
358,Favorite Song (Dj Rukus Intro Edit) (Dirty),78.00,221,Hip Hop
359,Marvin Gaye (Funky Mix) (Short Edit) (Clean),110.00,111,R&amp;B
360,One Call Away (MMP Intro) (Clean),91.00,226,R&amp;B
361,We Don't Talk Anymore (Clean),100.00,215,R&amp;B
362,We Don't Talk Anymore (Intro) (Clean),100.00,236,R&amp;B
363,Dope House (Dirty Remix),90.97,246,Hip Hop
364,Back To Sleep (Clean)2,93.00,201,R&amp;B
365,Back To Sleep (Dirty),93.00,201,R&amp;B
366,Liquor (Clean),105.00,227,R&amp;B
367,Liquor (Main),105.00,227,R&amp;B
368,Picture Me Rollin (Clean),103.00,192,R&amp;B
369,Picture Me Rollin (Dirty),103.00,193,R&amp;B
370,Time And A Place (Dj Slick Intro) (Dirty),104.00,222,Intros
371,Time For Love (Clean),105.00,224,R&amp;B
372,Time For Love (Dirty),105.00,226,R&amp;B
373,Zero (MMP Intro 2) (Clean),122.00,271,R&amp;B
374,Zero (MMP Intro 2) (Dirty),122.00,271,R&amp;B
375,Bitches And Marijuana (MMP Intro) (Clean),98.00,274,Intros
376,Bitches And Marijuana (MMP Intro) (Dirty),97.98,274,Intros
377,Show Love (Dj Rukus Intro Edit - Clean),96.00,250,Hip Hop
378,Show Love (Dj Rukus Intro Edit - Dirty),96.00,250,Hip Hop
379,The Water Dance (Dj Vinyl Fingers Hyped Up Intro Edit),105.00,258,Hip Hop
380,Water Dance (Mr Worldwide Remix) (Clean),104.98,222,Remix
381,Water Dance (Mr Worldwide Remix) (Dirty),104.98,222,Remix
382,Adventure Of A Lifetime (MMP Intro) (Clean),112.00,235,Alternative
383,Hymn For The Weekend (MMP Intro) (Clean),90.02,250,Intros
384,Bubblegum (N and D Drop It Like Its Hot Blend) (Short Edit),99.99,182,Trap
385,Cupid Shuffle (DJ Hope Transition 128BPM-144BPM-128BPM),127.74,236,Transitition
386,Cha Cha (Quick Hit) (Clean),135.00,74,Hip Hop
387,Broccoli (Dj Rukus Intro Edit - Clean),73.00,249,Hip Hop
388,Broccoli (Dj Rukus Intro Edit - Dirty),73.00,249,Hip Hop
389,Gasolina (Benedetto Moombahton Remix),105.00,229,Moombahton
390,Around The World (Richard Earnshaw And Mike Scot 2012 Re-Edit),125.00,448,House
391,Smoke Bomb (Clean),100.00,182,Hip Hop
392,Smoke Bomb (Dirty),100.00,182,Hip Hop
393,Hey Mamma,172.00,130,House
394,Bang My Head (Main),108.00,284,Pop
395,Bang My Head (Radio Edit),108.00,192,Pop
396,This Ones For You (Dj Rukus Intro Edit - Clean),110.00,226,Electronica
397,Play Hard Bouncer (FAED Personal Bootleg),128.13,280,Electronica
398,Hey Mama (Dj Kontrol Mash) (Clean),86.00,203,Blends/Mash-ups
399,Pour Some Sugar On Me Transition Down 120-85 (Reaction Edit),84.99,240,Rock
400,Bitch Please (Dj Rukus Intro Edit) (Dirty),87.00,198,Hip Hop
401,Bitch Please (Dj Rukus Intro Edit) (Dirty),87.00,198,Hip Hop
402,Die 4 It (Dj Rukus Intro Edit) (Dirty),125.00,268,Hip Hop
403,Back Up Off Me (Clean),80.00,241,Hip Hop
404,Back Up Off Me (Dirty),80.00,241,Hip Hop
405,Confident (Intro) (Clean),97.50,384,Pop
406,Confident (Intro) (Dirty),97.50,392,Pop
407,Cool For The Summer (MMP Intro),114.11,238,Intros
408,Really Dont Care (Intro),121.00,389,Intros
409,Say My Name (YUDA Remix),75.00,272,Trap
410,Get Low (The Rebirth In Paris) (Original Mix),128.00,189,House
411,Bun Up The Dance,108.00,213,Reggae
412,Stay a While (Dj Rukus Intro Edit - Clean),120.00,232,House
413,Higher Place,124.98,174,House
414,The Hum,130.00,356,Electro
415,Doctor Pepper (Intro) (Clean),140.00,342,Intros
416,Doctor Pepper (Intro) (Dirty),140.00,342,Intros
417,Shining (DJ Hope Hype Intro)(Clean),112.00,293,Hip Hop
418,Shining (DJ Hope Hype Intro)(Dirty),112.00,293,Hip Hop
419,Gold Slugs (MMP Intro) (Clean),88.00,316,Hip Hop
420,Gold Slugs (MMP Intro) (Dirty),88.00,316,Hip Hop
421,I Got the Keys (Clean),140.00,219,Hip Hop
